Subject	Source	Question	Answer		
Natalia	3	Выберите правильный вариант ответа	3) 75  10  10  5
Natalia	6	Выберите правильный вариант ответа	3) 60  20  15  5
Natalia	5	Выберите правильный вариант ответа	2) 80  10  5  5
Natalia	4	Выберите правильный вариант ответа	2) 70  15  10  5
Natalia	11	Выберите правильный вариант ответа	2) 70  15  10  5
Natalia	7	Выберите правильный вариант ответа	1) 65  20  10  5
Natalia	9	Выберите правильный вариант ответа	2) 70  15  10  5
Natalia	8	Выберите правильный вариант ответа	3) 75  10  10  5
Natalia	10	Выберите правильный вариант ответа	2) 80  10  5  5
Natalia	15	Выберите правильный вариант ответа	2) 80  10  5  5
Natalia	14	Выберите правильный вариант ответа	2) 70  15  10  5
Natalia	16	Выберите правильный вариант ответа	3) 60  20  15  5
Natalia	12	Выберите правильный вариант ответа	1) 65  20  10  5
Natalia	13	Выберите правильный вариант ответа	3) 75  10  10  5
Veronika	3	Выберите правильный вариант ответа	3) 75  10  10  5
Veronika	2	Выберите правильный ответ	1) 65  20  10  5
Veronika	6	Выберите правильный вариант ответа	3) 60  20  15  5
Veronika	5	Выберите правильный вариант ответа	2) 80  10  5  5
Veronika	4	Выберите правильный вариант ответа	2) 70  15  10  5
Veronika	10	Выберите правильный вариант ответа	2) 80  10  5  5
Veronika	8	Выберите правильный вариант ответа	2) 70  15  10  5
Veronika	11	Выберите правильный вариант ответа	3) 60  20  15  5
Veronika	7	Выберите правильный вариант ответа	1) 65  20  10  5
Veronika	9	Выберите правильный вариант ответа	2) 70  15  10  5
Veronika	13	Выберите правильный вариант ответа	1) 65  20  15  10
Veronika	14	Выберите правильный вариант ответа	2) 70  15  10  5
Veronika	12	Выберите правильный вариант ответа	1) 65  20  10  5
Veronika	15	Выберите правильный вариант ответа	2) 80  10  5  5
Veronika	16	Выберите правильный вариант ответа	3) 60  20  15  5
Yulia	6	Выберите правильный вариант ответа	3) 60  20  15  5
Yulia	4	Выберите правильный вариант ответа	2) 70  15  10  5
Yulia	3	Выберите правильный вариант ответа	3) 75  10  10  5
Yulia	5	Выберите правильный вариант ответа	2) 80  10  5  5
Yulia	2	Выберите правильный ответ	1) 65  20  10  5
Yulia	7	Выберите правильный вариант ответа	1) 65  20  10  5
Yulia	8	Выберите правильный вариант ответа	3) 75  10  10  5
Yulia	11	Выберите правильный вариант ответа	3) 60  20  15  5
Yulia	9	Выберите правильный вариант ответа	2) 70  15  10  5
Yulia	10	Выберите правильный вариант ответа	2) 80  10  5  5
Yulia	16	Выберите правильный вариант ответа	3) 60  20  15  5
Yulia	14	Выберите правильный вариант ответа	2) 70  15  10  5
Yulia	15	Выберите правильный вариант ответа	2) 80  10  5  5
Yulia	12	Выберите правильный вариант ответа	1) 65  20  10  5
Yulia	13	Выберите правильный вариант ответа	3) 75  10  10  5
Yulia 02	3	Выберите правильный вариант ответа	3) 75  10  10  5
Yulia 02	5	Выберите правильный вариант ответа	2) 80  10  5  5
Yulia 02	6	Выберите правильный вариант ответа	3) 60  20  15  5
Yulia 02	4	Выберите правильный вариант ответа	2) 70  15  10  5
Yulia 02	2	Выберите правильный ответ	1) 65  20  10  5
Yulia 02	9	Выберите правильный вариант ответа	2) 70  15  10  5
Yulia 02	11	Выберите правильный вариант ответа	3) 60  20  15  5
Yulia 02	8	Выберите правильный вариант ответа	3) 75  10  10  5
Yulia 02	10	Выберите правильный вариант ответа	2) 80  10  5  5
Yulia 02	7	Выберите правильный вариант ответа	1) 65  20  10  5
Yulia 02	14	Выберите правильный вариант ответа	1) 65  20  15  10
Yulia 02	12	Выберите правильный вариант ответа	1) 65  20  10  5
Yulia 02	16	Выберите правильный вариант ответа	3) 60  20  15  5
Yulia 02	13	Выберите правильный вариант ответа	3) 75  10  10  5
Yulia 02	15	Выберите правильный вариант ответа	2) 80  10  5  5
Dasha	2	Выберите правильный ответ	1) 65  20  10  5
Dasha	3	Выберите правильный вариант ответа	3) 75  10  10  5
Dasha	4	Выберите правильный вариант ответа	1) 65  20  15  10
Dasha	6	Выберите правильный вариант ответа	3) 60  20  15  5
Dasha	5	Выберите правильный вариант ответа	2) 80  10  5  5
Dasha	7	Выберите правильный вариант ответа	2) 70  15  10  5
Dasha	9	Выберите правильный вариант ответа	2) 70  15  10  5
Dasha	11	Выберите правильный вариант ответа	1) 65  20  15  10
Dasha	8	Выберите правильный вариант ответа	3) 75  10  10  5
Dasha	10	Выберите правильный вариант ответа	2) 80  10  5  5
Dasha	16	Выберите правильный вариант ответа	3) 60  20  15  5
Dasha	13	Выберите правильный вариант ответа	3) 75  10  10  5
Dasha	14	Выберите правильный вариант ответа	2) 70  15  10  5
Dasha	12	Выберите правильный вариант ответа	1) 65  20  10  5
Dasha	15	Выберите правильный вариант ответа	1) 85  6  5  4
Marina	3	Выберите правильный вариант ответа	2) 70  15  10  5
Marina	6	Выберите правильный вариант ответа	3) 60  20  15  5
Marina	2	Выберите правильный ответ	2) 70  15  10  5
Marina	5	Выберите правильный вариант ответа	2) 80  10  5  5
Marina	4	Выберите правильный вариант ответа	2) 70  15  10  5
Marina	11	Выберите правильный вариант ответа	3) 60  20  15  5
Marina	9	Выберите правильный вариант ответа	2) 70  15  10  5
Marina	10	Выберите правильный вариант ответа	2) 80  10  5  5
Marina	7	Выберите правильный вариант ответа	1) 65  20  10  5
Marina	8	Выберите правильный вариант ответа	3) 75  10  10  5
Marina	14	Выберите правильный вариант ответа	2) 70  15  10  5
Marina	12	Выберите правильный вариант ответа	1) 65  20  10  5
Marina	15	Выберите правильный вариант ответа	2) 80  10  5  5
Marina	16	Выберите правильный вариант ответа	2) 70  15  10  5
Marina	13	Выберите правильный вариант ответа	3) 75  10  10  5
Polina 03	5	Выберите правильный вариант ответа	1) 85  6  5  4
Polina 03	6	Выберите правильный вариант ответа	3) 60  20  15  5
Polina 03	4	Выберите правильный вариант ответа	2) 70  15  10  5
Polina 03	2	Выберите правильный ответ	1) 65  20  10  5
Polina 03	3	Выберите правильный вариант ответа	3) 75  10  10  5
Polina 03	7	Выберите правильный вариант ответа	1) 65  20  10  5
Polina 03	9	Выберите правильный вариант ответа	1) 65  20  15  10
Polina 03	10	Выберите правильный вариант ответа	2) 80  10  5  5
Polina 03	8	Выберите правильный вариант ответа	2) 70  15  10  5
Polina 03	11	Выберите правильный вариант ответа	3) 60  20  15  5
Polina 03	15	Выберите правильный вариант ответа	1) 85  6  5  4
Polina 03	13	Выберите правильный вариант ответа	1) 65  20  15  10
Polina 03	16	Выберите правильный вариант ответа	3) 60  20  15  5
Polina 03	14	Выберите правильный вариант ответа	2) 70  15  10  5
Polina 03	12	Выберите правильный вариант ответа	1) 65  20  10  5
Nastya 08	2	Выберите правильный ответ	1) 65  20  10  5
